filename,basename,toolid,toolmode,parser_version,runid,exit_code,findings,infos,errors,fails
samples/simple_dao.hex,simple_dao.hex,mythril-0.23.5,bytecode,2022/11/11,github,0,"Exception_State,External_Call_To_User_Supplied_Address,State_access_after_external_call,Unchecked_return_value_from_external_call,Unprotected_Ether_Withdrawal",,,
samples/simple_dao.rt.hex,simple_dao.rt.hex,mythril-0.23.5,runtime,2022/11/11,github,0,"Exception_State,External_Call_To_User_Supplied_Address,State_access_after_external_call,Unchecked_return_value_from_external_call,Unprotected_Ether_Withdrawal",,,
samples/simple_dao.sol,simple_dao.sol,mythril-0.23.5,solidity,2022/11/11,github,0,"External_Call_To_User_Supplied_Address,State_access_after_external_call,Unchecked_return_value_from_external_call,Unprotected_Ether_Withdrawal",,,
