Tools,Vulnerability name,access_control,arithmetic,denial_service,reentrancy,unchecked_low_calls,bad_randomness,front_running,time_manipulation,short_addresses,Other,Ignore
ccc,A deterministic or predictable value may be used as bad random number.,,,,,,TRUE,,,,,
ccc,A miner can use others input to gain a benefit himself.,,,,,,,TRUE,,,,
ccc,Access control enforcement through transactions origin is vulnerable to phishing attacks ,TRUE,,,,,,,,,,
ccc,An expensive operation in a loop with a user controlled or often repeated condition can exhaust gas and deny reliable execution.,,,TRUE,,,,,,,,
ccc,Message padding vulnerability found at ether transfer.,,,,,,,,,,TRUE,
ccc,Miners can manipulate program execution by selecting when to include the timestamp,,,,,,,,TRUE,,,
ccc,Missing Access Control to Selfdestruct,TRUE,,,,,,,,,,
ccc,Missing Check of Return Value from external Call,,,,,TRUE,,,,,,
ccc,No whitelisting of calls proxied to another contract,TRUE,,,,,,,,,,
ccc,Non constructor function insufficiently restricts writes to to access control variables,TRUE,,,,,,,,,,
ccc,Operation may lead to a denial of essential contract function.,,,TRUE,,,,,,,,
ccc,Reentrancy Vulnerability,,,,TRUE,,,,,,,
ccc,Result of expression can be over- or under-flown by external entity,,TRUE,,,,,,,,,
ccc,Write to uninitialized variable might unintentionally write to storage.,,,,,,,,,,TRUE,
confuzzius,Arbitrary Memory Access,,,,,,,,,,,
confuzzius,Assertion Failure,,,,,,,,,,TRUE,
confuzzius,Block Dependency,,,,,,TRUE,,,,,
confuzzius,Integer Overflow,,,,,,,,,,,
confuzzius,Leaking Ether,TRUE,,,,,,,,,,
confuzzius,Locking Ether,,,,,,,,,,,
confuzzius,Reentrancy,,,,,,,,,,,
confuzzius,Transaction Order Dependency,,,,,,,TRUE,,,,
confuzzius,Unhandled Exception,,,,,TRUE,,,,,,
confuzzius,Unprotected Selfdestruct,TRUE,,,,,,,,,,
confuzzius,Unsafe Delegatecall,TRUE,,,,,,,,,,
conkas,Integer Overflow,,TRUE,,,,,,,,,
conkas,Integer Underflow,,TRUE,,,,,,,,,
conkas,Reentrancy,,,,TRUE,,,,,,,
conkas,Time Manipulation,,,,,,,,TRUE,,,
conkas,Transaction Ordering Dependence,,,,,,,TRUE,,,,
conkas,Unchecked Low Level Call,,,,,TRUE,,,,,,
ethainter,TaintedStoreIndex,,,,,,,,,,,
ethainter,TaintedSelfdestruct,,,,,,,,,,,
ethainter,TaintedValueSend,,,,,,,,,,,
ethainter,UncheckedTaintedStaticcall,,,,,,,,,,,
ethainter,AccessibleSelfdestruct,,,,,,,,,,,
ethainter,TaintedDelegatecall,,,,,,,,,,,
ethainter,TaintedOwnerVariable,,,,,,,,,,,
ethor,secure,,,,,,,,,,,
ethor,insecure,,,,,,,,,,,
gigahorse,…,,,,,,,,,,,
honeybadger,Balance disorder,,,,,,,,,,,TRUE
honeybadger,Hidden state update,,,,,,,,,,,TRUE
honeybadger,Hidden transfer,,,,,,,,,,TRUE,
honeybadger,Inheritance disorder,,,,,,,,,,,TRUE
honeybadger,Money flow,,,,,,,,,,,
honeybadger,Skip empty string,,,,,,,,,,,
honeybadger,Straw man contract,,,,TRUE,,,,,,,
honeybadger,Type overflow,,TRUE,,,,,,,,,
